comparison_group,reward_agent_group,training_seed,evaluation_seed,dqn_performance,reward_agent_performance,reward_minus_dqn,reward_pct_change
dqn_reward_alpha0p001_minus_dqn,dqn_reward_alpha0p001,456.0,1014,750.0,130.0,-620.0,-82.66666666666667
dqn_reward_alpha0p001_minus_dqn,dqn_reward_alpha0p001,456.0,1015,680.0,980.0,300.0,44.11764705882353
dqn_reward_alpha0p001_minus_dqn,dqn_reward_alpha0p001,456.0,1016,630.0,270.0,-360.0,-57.14285714285714
dqn_reward_alpha0p001_minus_dqn,dqn_reward_alpha0p001,456.0,1017,630.0,270.0,-360.0,-57.14285714285714
dqn_reward_alpha0p001_minus_dqn,dqn_reward_alpha0p001,456.0,1018,750.0,130.0,-620.0,-82.66666666666667
dqn_reward_alpha0p001_minus_dqn,dqn_reward_alpha0p001,456.0,1019,680.0,980.0,300.0,44.11764705882353
dqn_reward_alpha0p001_minus_dqn,dqn_reward_alpha0p001,456.0,1020,600.0,310.0,-290.0,-48.333333333333336
dqn_reward_alpha0p001_minus_dqn,dqn_reward_alpha0p001,456.0,1021,630.0,270.0,-360.0,-57.14285714285714
dqn_reward_alpha0p001_minus_dqn,dqn_reward_alpha0p001,456.0,1022,750.0,130.0,-620.0,-82.66666666666667
dqn_reward_alpha0p001_minus_dqn,dqn_reward_alpha0p001,456.0,1023,750.0,130.0,-620.0,-82.66666666666667
dqn_reward_alpha0p001_minus_dqn,dqn_reward_alpha0p001,456.0,1024,680.0,980.0,300.0,44.11764705882353
dqn_reward_alpha0p001_minus_dqn,dqn_reward_alpha0p001,456.0,1025,600.0,310.0,-290.0,-48.333333333333336
dqn_reward_alpha0p001_minus_dqn,dqn_reward_alpha0p001,456.0,1026,600.0,310.0,-290.0,-48.333333333333336
dqn_reward_alpha0p001_minus_dqn,dqn_reward_alpha0p001,456.0,1027,750.0,130.0,-620.0,-82.66666666666667
dqn_reward_alpha0p001_minus_dqn,dqn_reward_alpha0p001,456.0,1028,680.0,980.0,300.0,44.11764705882353
dqn_reward_alpha0p001_minus_dqn,dqn_reward_alpha0p001,456.0,1029,600.0,310.0,-290.0,-48.333333333333336
dqn_reward_alpha0p001_minus_dqn,dqn_reward_alpha0p001,456.0,1030,750.0,130.0,-620.0,-82.66666666666667
dqn_reward_alpha0p001_minus_dqn,dqn_reward_alpha0p001,456.0,1031,750.0,130.0,-620.0,-82.66666666666667
dqn_reward_alpha0p001_minus_dqn,dqn_reward_alpha0p001,456.0,1032,600.0,310.0,-290.0,-48.333333333333336
dqn_reward_alpha0p001_minus_dqn,dqn_reward_alpha0p001,456.0,1033,630.0,270.0,-360.0,-57.14285714285714
dqn_reward_alpha0p001_minus_dqn,dqn_reward_alpha0p001,456.0,1034,600.0,310.0,-290.0,-48.333333333333336
dqn_reward_alpha0p001_minus_dqn,dqn_reward_alpha0p001,456.0,1035,630.0,270.0,-360.0,-57.14285714285714
dqn_reward_alpha0p001_minus_dqn,dqn_reward_alpha0p001,456.0,1036,750.0,130.0,-620.0,-82.66666666666667
dqn_reward_alpha0p001_minus_dqn,dqn_reward_alpha0p001,456.0,1037,750.0,130.0,-620.0,-82.66666666666667
dqn_reward_alpha0p001_minus_dqn,dqn_reward_alpha0p001,456.0,1038,600.0,310.0,-290.0,-48.333333333333336
dqn_reward_alpha0p001_minus_dqn,dqn_reward_alpha0p001,456.0,1039,680.0,980.0,300.0,44.11764705882353
dqn_reward_alpha0p001_minus_dqn,dqn_reward_alpha0p001,456.0,1040,630.0,270.0,-360.0,-57.14285714285714
dqn_reward_alpha0p001_minus_dqn,dqn_reward_alpha0p001,456.0,1041,680.0,980.0,300.0,44.11764705882353
dqn_reward_alpha0p001_minus_dqn,dqn_reward_alpha0p001,456.0,1042,680.0,980.0,300.0,44.11764705882353
dqn_reward_alpha0p001_minus_dqn,dqn_reward_alpha0p001,456.0,1043,600.0,310.0,-290.0,-48.333333333333336
dqn_reward_alpha0p001_minus_dqn,dqn_reward_alpha0p001,456.0,1044,600.0,310.0,-290.0,-48.333333333333336
dqn_reward_alpha0p001_minus_dqn,dqn_reward_alpha0p001,456.0,1045,680.0,980.0,300.0,44.11764705882353
dqn_reward_alpha0p001_minus_dqn,dqn_reward_alpha0p001,456.0,1046,600.0,310.0,-290.0,-48.333333333333336
dqn_reward_alpha0p001_minus_dqn,dqn_reward_alpha0p001,456.0,1047,600.0,310.0,-290.0,-48.333333333333336
dqn_reward_alpha0p001_minus_dqn,dqn_reward_alpha0p001,456.0,1048,600.0,310.0,-290.0,-48.333333333333336
dqn_reward_alpha0p001_minus_dqn,dqn_reward_alpha0p001,456.0,1049,600.0,310.0,-290.0,-48.333333333333336
dqn_reward_alpha0p001_minus_dqn,dqn_reward_alpha0p001,789.0,1000,410.0,820.0,410.0,100.0
dqn_reward_alpha0p001_minus_dqn,dqn_reward_alpha0p001,789.0,1001,460.0,620.0,160.0,34.78260869565217
dqn_reward_alpha0p001_minus_dqn,dqn_reward_alpha0p001,789.0,1002,460.0,620.0,160.0,34.78260869565217
dqn_reward_alpha0p001_minus_dqn,dqn_reward_alpha0p001,789.0,1003,460.0,620.0,160.0,34.78260869565217
dqn_reward_alpha0p001_minus_dqn,dqn_reward_alpha0p001,789.0,1004,460.0,620.0,160.0,34.78260869565217
dqn_reward_alpha0p001_minus_dqn,dqn_reward_alpha0p001,789.0,1005,1150.0,570.0,-580.0,-50.43478260869565
dqn_reward_alpha0p001_minus_dqn,dqn_reward_alpha0p001,789.0,1006,640.0,580.0,-60.0,-9.375
dqn_reward_alpha0p001_minus_dqn,dqn_reward_alpha0p001,789.0,1007,1150.0,570.0,-580.0,-50.43478260869565
dqn_reward_alpha0p001_minus_dqn,dqn_reward_alpha0p001,789.0,1008,640.0,580.0,-60.0,-9.375
dqn_reward_alpha0p001_minus_dqn,dqn_reward_alpha0p001,789.0,1009,410.0,820.0,410.0,100.0
dqn_reward_alpha0p001_minus_dqn,dqn_reward_alpha0p001,789.0,1010,640.0,580.0,-60.0,-9.375
dqn_reward_alpha0p001_minus_dqn,dqn_reward_alpha0p001,789.0,1011,1150.0,570.0,-580.0,-50.43478260869565
